PSID,year,DPROVI,DKABUP,y,CAPITAL,MATERIAL,va,l,k,m,i
35392,2012,32,4.0,16.097328,19115.162,3389408.3,15.363837,4.7095304,9.6732569,15.05659,0.0
35392,2013,32,4.0,16.528555,0.0,0.0,16.207977,6.43294,10.308952,11.39218,0.0
35392,2014,32,4.0,16.397381,0.0,0.0,15.737514,4.7095304,14.026497,15.664683,0.0
35392,2015,32,4.0,16.427807,0.0,0.0,15.642273,4.7095304,14.446572,16.002213,0.0
35395,2011,32,73.0,14.39776,0.0,813697.13,13.328875,2.9957323,8.0320349,13.660286,0.0
35395,2012,32,73.0,14.383531,0.0,592347.25,13.65004,2.9957323,7.4662275,13.342792,0.0
35396,2011,32,71.0,18.764719,0.0,37703704.0,18.039362,7.3244901,10.65961,17.450201,0.0
35396,2012,32,71.0,18.712288,0.0,47045108.0,17.978798,7.3244901,10.021271,17.671549,0.0
35396,2013,32,71.0,19.440897,0.0,100501288.0,18.591238,7.3244901,10.829293,18.430613,0.0
35396,2014,32,71.0,18.197256,0.0,29966676.0,17.716999,6.9421568,12.804502,17.225939,0.0
35396,2015,32,71.0,18.660433,0.0,82186048.0,17.874899,6.9421568,12.497675,18.234838,0.0
35397,2011,32,78.0,14.079784,4834.9023,0.0,13.247236,4.4543471,12.100712,13.006617,0.0
35397,2012,32,78.0,15.842146,4631.2271,0.0,15.108654,4.4543471,13.275557,14.801407,0.0
35399,2011,36,3.0,16.360861,47151.719,7343314.0,15.057129,5.4293456,10.580531,15.82541,0.0
35399,2012,36,3.0,16.817144,45165.406,6992131.5,16.083652,5.4293456,10.283156,15.776405,0.0
35399,2013,36,3.0,17.545753,41586.164,14937117.0,16.696095,5.4293456,11.091164,16.535469,0.0
35399,2014,36,3.0,17.117197,39473.848,12844034.0,16.457331,5.4293456,11.053062,16.384499,0.0
35399,2015,36,3.0,17.147621,39869.379,18000654.0,16.362089,5.4293456,11.473145,16.722027,5.9802299
35413,2011,32,16.0,17.047476,0.0,11882286.0,15.978589,5.6454468,10.813921,16.310001,0.0
35413,2012,32,16.0,17.033245,0.0,8649950.0,16.299753,5.6454468,10.307919,15.992506,0.0
35413,2013,32,16.0,15.489439,0.0,1043364.9,14.820783,5.7037826,12.254863,14.150749,0.0
35413,2014,32,16.0,17.333298,0.0,12089068.0,16.673431,5.6454468,14.149754,16.600599,0.0
35413,2015,32,16.0,17.363724,0.0,16942586.0,16.57819,5.6454468,14.569831,16.938129,0.0
35425,2011,32,1.0,15.54601,2588.0947,2218095.0,14.619555,4.6347289,8.0709057,14.629737,0.0
35425,2012,32,1.0,15.619202,3323.5864,2633468.0,14.736123,4.6051702,8.7416162,14.803393,6.6005392
35425,2013,32,1.0,17.63133,3298.4951,1670610.1,17.273207,3.9318256,7.6962128,14.361421,0.0
35425,2014,32,1.0,14.388303,4075.3967,1199614.9,13.231402,3.9512436,7.6496925,14.008086,6.6553135
35425,2015,32,1.0,13.984529,4108.2163,754458.56,13.177504,3.9318256,8.5171928,13.571992,3.4910252
35984,2013,35,4.0,12.101867,10039.298,111796.52,10.515692,3.0445225,7.377759,11.642785,0.0
35984,2014,35,4.0,11.964381,9529.3652,96942.93,10.967394,3.0445225,7.3024964,11.500774,0.0
35984,2015,35,4.0,12.317267,10501.002,106477.62,11.725604,3.0445225,7.9786539,11.749852,6.8789821
35998,2011,35,78.0,14.315523,10475.943,1002377.6,12.859842,3.2188759,8.8214369,13.873027,0.0
35998,2012,35,78.0,14.243288,2574.4175,665681.63,13.303285,3.2580965,8.909235,13.494276,0.0
35998,2013,35,78.0,14.326288,2433.9465,667748.06,13.321979,3.2580965,9.1798811,13.500113,0.0
35998,2014,35,78.0,14.262629,2279.8413,812096.13,13.429939,3.2580965,10.243631,13.687998,0.0
35998,2015,35,78.0,16.181087,2436.3127,1884147.9,16.170723,3.1354942,9.8644867,14.46921,5.0528736
36000,2012,35,73.0,14.383531,3541.5266,273703.97,13.65004,2.9957323,11.42618,13.342792,0.0
36000,2013,35,73.0,11.892056,10911.371,31772.859,11.029411,3.0445225,9.4979973,10.899808,8.9051523
36009,2012,35,25.0,14.383531,1280.3981,0.0,13.65004,2.9957323,10.530655,13.342792,0.0
36009,2013,35,25.0,15.11214,1178.9298,0.0,14.262481,2.9957323,11.338667,14.101855,0.0
36009,2014,35,25.0,14.683583,1119.0476,0.0,14.023717,2.9957323,11.300573,13.950886,0.0
36009,2015,35,25.0,14.714008,1130.2605,0.0,13.928474,2.9957323,11.720647,14.288414,2.417064
36010,2012,35,25.0,13.984235,2297.4519,632185.69,12.88057,3.9889841,7.7960582,13.389258,0.0
36015,2011,35,78.0,13.125226,15623.37,331117.66,11.463202,3.1780539,9.2202911,12.778814,0.0
36015,2014,35,78.0,14.778893,13476.19,1172077.3,14.119027,3.0910425,10.053717,14.046196,0.0
36015,2015,35,78.0,14.809319,13611.223,1642643.1,14.023785,3.0910425,10.473789,14.383724,4.9055133
36019,2011,35,73.0,14.371429,10731.587,825757.63,13.285886,3.3322046,8.8246775,13.651472,0.0
36019,2012,35,73.0,14.423182,9207.9688,1111103.8,13.151807,3.2580965,8.5486917,13.945065,0.0
36019,2013,35,73.0,14.415449,22801.004,738507.69,13.459077,3.2580965,8.4482718,13.538643,9.517313
36019,2014,35,73.0,14.187925,19880.953,665470.19,13.547631,3.2188759,5.771441,13.433671,0.0
36019,2015,35,73.0,14.003666,19959.92,619488.44,13.475157,3.2188759,5.6204009,13.378238,4.3690276
36490,2011,12,75.0,13.948092,6626.6602,582889.94,12.781674,3.1780539,8.3428402,13.305377,0.0
36490,2015,12,75.0,14.759614,24448.898,1398387.5,14.196647,3.5263605,7.6009026,14.166708,0.0
36494,2011,12,75.0,14.621395,11601.632,1474068.6,13.044769,3.713572,10.216179,14.238694,0.0
36494,2012,12,75.0,14.618482,11762.046,1491836.8,13.131692,3.713572,10.005457,14.251059,5.0777583
36494,2013,12,75.0,14.832784,11735.376,1565100.6,13.40612,3.713572,10.267818,14.304015,0.0
36494,2014,12,75.0,14.017506,10759.65,708597.44,13.095582,3.2958369,9.6630068,13.506939,0.0
36494,2015,12,75.0,14.443396,9732.7139,1050250.1,13.829519,3.6635616,9.6158056,13.894795,0.0
36829,2011,31,75.0,18.567114,0.0,0.0,17.498228,6.5482192,13.889976,17.829641,0.0
36829,2012,31,75.0,17.936018,0.0,0.0,17.202526,6.5482192,12.707232,16.895279,0.0
36847,2012,31,73.0,13.581612,12803.98,297682.25,12.702087,3.1354942,9.2873011,12.761348,0.0
36847,2013,31,73.0,13.566106,14443.98,199028.23,12.817591,3.0910425,9.5104446,12.393115,7.4024515
36847,2014,31,73.0,13.720554,16547.619,298346.91,13.231181,3.0910425,10.021271,12.764005,7.6514239
36847,2015,31,73.0,13.801542,19158.316,374165.97,13.445635,3.0910425,9.268609,12.972939,7.8673725
36923,2011,31,72.0,14.421914,0.0,1051435.3,13.061625,3.4011974,9.3325577,13.923757,0.0
36923,2012,31,72.0,14.054459,18138.973,667983.63,12.936957,3.4657359,9.392662,13.470453,9.8058186
36923,2013,31,72.0,15.470249,11843.646,3204326.5,13.917397,3.1780539,9.4803677,14.99789,0.0
36923,2014,31,72.0,15.200293,0.0,2860015.5,13.885011,3.2188759,9.546813,14.885472,0.0
36923,2015,31,72.0,15.090775,15118.236,2652488.0,14.007172,3.2188759,9.8255262,14.812998,9.6236572
37348,2011,36,3.0,14.228814,23369.453,501773.91,13.351789,3.2958369,9.7981272,13.23487,0.0
37388,2012,32,1.0,17.902512,181604.55,20017336.0,17.16902,6.5147128,11.932083,16.861773,0.0
